user_name,Name
prof.dr.ingohahn_mdl,"Prof. Dr. Ingo Hahn, MdL"
andywinhart,"Andreas Winhart, MdL"
hughbronson,"Hugh Bronson, MdA"
lhuenich,"Lars Hünich, MdL"
steffenjohn_mdl,"Steffen John, MdL"
janphillip_tadsen,"Jan-Phillip Tadsen, MdL"
vanessabehrendt45,"Vanessa Behrendt, MdL"
holger_kuehnlenz.mdl,"Holger Kühnlenz, MdL"
marcelqueckemeyer,"Marcel Queckemeyer, MdL"
harmrykena,"Harm Rykena, MdL"
lotharwaehler_afd,"Lothar Waehler, MdL"
sebastian_wippel,"Sebastian Wippel, MdL"
rolfweigand,"Dr. Rolf Weigand, MdL "
carsten_huetter,"Carsten Hütter, MdL"
thomas.kirste,"Thomas Kirste, MdL "
christian_loose_mdl,"Christian Loose, MdL"
enxhiselizacharias,"Enxhi Seli-Zacharias, MdL"
svenwtritschler,"Sven Tritschler, MdL"
martin.vincentz,"Dr. Martin Vincentz, MdL"
markuswagnerafd,"Markus Wagner, MdL"
drfrankgrobe,"Dr. Frank Grobe, MdL"
gerhardschenk28,"Gerhard Schenk, MdL"
pascalschleich915,"Pascal Schlecih, MdL"
richardgraupner,"Richard Graupner, MdL"
roland_magerl,"Roland Magerl, MdL"
udosteinmdl,"Udo Stein, MdL"
_dieter_arnold_afd_,"Dieter Arnold, MdL"
renedierkesafd,"Rene Dierkes, MdL"
daniel_halemba_afd,"Daniel Halemba, MdL"
andreasjurca.afd,"Andreas Jurca, MdL"
benjamindnolte,"Benjamin Nolte, MdL"
ramona_storm,"Ramoma Storm, MdL"
olgapetersenafd,"Olga Petersen, MdHB"
alexander_wiesner,"Andreas Wiesner, MdL"
andre_wendt_afd,"Andre Wendt, MdL"
volkerdringenberg,"Dr. Volker Dringenberg, MdL"
frankpeschel_afd,"Frank Peschel, MdL"
rene_hein,"Rene Hein, MdL"
steffenkubitzki,"Steffen Kubitzki, MdL"
volker.nothing.md,"Volker Nothing, MdL"
felixhwteichner,"Felix Teichner, MdL"
hallofraukaiser,Marie-Thérèse Kaiser
janeschulz.deu,Jane Schulz
dr.robbyschlund,Robby Schlund
jensahrends711,Jens Ahrends
erichheidkamp,Erich Heidkamp
