video_id,video_timestamp,video_duration,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,suggested_words,url
7316279226687065376,1703454007,0,4107,37,64,22278,,False,2takter_,🐮,3685,4653,100600,120,31700,False,"['afd', 'ksk', 'fy', 's51tuning', 'foryou', 'fyp', 'foryoupage', 'neverlosyoursmile', 'tecak', 'derostenrockt', 'deutschland', 'seischlauwählblau', '2taklovers', 'afd', '2taktpower', 'viral', 'simson', 'ostdeutschland']",https://www.tiktok.com/@2takter_/video/7316279226687065376
7364803978963586337,1714752058,10,2271,36,315,22243,"Politische Vereinigung, die nichts mehr mit dem Christentum zu tun hat.  #ZeitfürdieAfD #MutzurWahrheit #AfD #Deutschland #andreazuercher #alternativefürdeutschland #afdimbundestag #AfDimLandtag #afddeutschland #afdfraktion ",False,andreazuercherafd,Andrea Zürcher AfD 💙,93100,1846,935700,460,15300,False,"['zeitfürdieafd', 'mutzurwahrheit', 'afd', 'deutschland', 'andreazuercher', 'alternativefürdeutschland', 'afdimbundestag', 'afdimlandtag', 'afddeutschland', 'afdfraktion']",https://www.tiktok.com/@andreazuercherafd/video/7364803978963586337
7357836034761084192,1713129709,17,4691,63,472,22206,AfD 💙#afd #afddeutschland #weidel #afd_team #afdfraktion #alternative #fyp #foryou #viral #sonntag #montag #deutschland #💙 #🇩🇪 #afdwählen #afddemo #demo #community #party ,False,afd.demo.community,AfD Demo Community,58100,19,811900,63,1426,False,"['afd', 'afddeutschland', 'weidel', 'afd_team', 'afdfraktion', 'alternative', 'fyp', 'foryou', 'viral', 'sonntag', 'montag', 'deutschland', '💙', '🇩🇪', 'afdwählen', 'afddemo', 'demo', 'community', 'party']",https://www.tiktok.com/@afd.demo.community/video/7357836034761084192
7312889085603958048,1702664678,30,2608,131,208,22197,#landwirtschaft #landwirtschaftausleidenschaft #ampelkoalition #ampelregierung #ampelmussweg #abzocke #regierung #regierungmussweg #regierungsversagen #regierungslüge #lebensmittel #ernährung #grundversorgung #grundrecht #verfassung ,False,schuettgutsammler,schuettgutsammler,1893,1500,15800,121,722,False,"['landwirtschaft', 'landwirtschaftausleidenschaft', 'ampelkoalition', 'ampelregierung', 'ampelmussweg', 'abzocke', 'regierung', 'regierungmussweg', 'regierungsversagen', 'regierungslüge', 'lebensmittel', 'ernährung', 'grundversorgung', 'grundrecht', 'verfassung']",https://www.tiktok.com/@schuettgutsammler/video/7312889085603958048
7273837288558251296,1693572223,8,949,43,27,22187,Es bleibt Mord!  #ZeitfürdieAfD #MutzurWahrheit #AfD #Deutschland #andreazuercher #alternativefürdeutschland #afdimbundestag #AfDimLandtag #afddeutschland ,False,andreazuercherafd,Andrea Zürcher AfD 💙,93100,1846,935700,460,15300,False,"['zeitfürdieafd', 'mutzurwahrheit', 'afd', 'deutschland', 'andreazuercher', 'alternativefürdeutschland', 'afdimbundestag', 'afdimlandtag', 'afddeutschland']",https://www.tiktok.com/@andreazuercherafd/video/7273837288558251296
7307794484207635744,1701478513,297,1910,393,120,22170,01.12.2023 #politik #deutschland #berlin #lkwmaut #berlin #afd #bürgergeld #spd #nancyfaeser #olafscholz #deutschlandkurier #silkeschröder #ukraine #geldverschwendung  #fdp #notstand #wirtschaftskrise #meinungsfreiheit #cdu #scholzmussweg #faesermussweg #baerbockmussweg #habeckmussweg #medien #örr #gez #betreutesdenken #faktencheck #diegrünen #ampelregierung #freiheit #frieden ,False,4monkeycats,𝟜𝕄𝕠𝕟𝕜𝕖𝕪ℂ𝕒𝕥𝕤,31800,348,391100,245,6856,False,"['politik', 'deutschland', 'berlin', 'lkwmaut', 'berlin', 'afd', 'bürgergeld', 'spd', 'nancyfaeser', 'olafscholz', 'deutschlandkurier', 'silkeschröder', 'ukraine', 'geldverschwendung', 'fdp', 'notstand', 'wirtschaftskrise', 'meinungsfreiheit', 'cdu', 'scholzmussweg', 'faesermussweg', 'baerbockmussweg', 'habeckmussweg', 'medien', 'örr', 'gez', 'betreutesdenken', 'faktencheck', 'diegrünen', 'ampelregierung', 'freiheit', 'frieden']",https://www.tiktok.com/@4monkeycats/video/7307794484207635744
7332460040877657377,1707221405,77,4831,250,610,22153,#esreicht #AFD #afddeutschland #afdwählen #grüneneindanke #alternative #lügenfernsehn #afd #viral #lügenpresse #lügentv #lügenregierung #aliceweidel #alternativefürdeutschland #seischlauwählblau #stehtauffürdeutschland #afdmitgliedwerden #viralvideo #nurnochafd #scholzmussweg #scheissregierung #news #AFD #wachtendlichauf #scheissgrüne #goviral #regierungmussweg ,False,jurgenafd,JürgenAfD,57500,10000,1600000,3353,31000,False,"['esreicht', 'afd', 'afddeutschland', 'afdwählen', 'grüneneindanke', 'alternative', 'lügenfernsehn', 'afd', 'viral', 'lügenpresse', 'lügentv', 'lügenregierung', 'aliceweidel', 'alternativefürdeutschland', 'seischlauwählblau', 'stehtauffürdeutschland', 'afdmitgliedwerden', 'viralvideo', 'nurnochafd', 'scholzmussweg', 'scheissregierung', 'news', 'afd', 'wachtendlichauf', 'scheissgrüne', 'goviral', 'regierungmussweg']",https://www.tiktok.com/@jurgenafd/video/7332460040877657377
7362616433974660384,1714242730,15,4285,126,446,22063,#fyp #fpy #viraltiktok #viral #musikvideo  #techno #undvonheute #spassvideo #spassmusssein #30er #60er #90er #90erkids #2000er #2024music  #wiealtbistdu? #dubstep #dance #funny #familienleben #musikstory #kindheitserinnerung #erinnerung #blau #alicaweidel #afd #freiheit #volk #lasers #lasershow #lightshow #rave #techno #hardtechno #Festival #ravetok#trend #edits #theedit #jacobelordi #taylorswift #walkerscobell #pedropascal #milesmorales #timotheechalamet#theholysantabarbara #sms23 #sonnemondsternefestival #sonnemondsterne #techno #rave #ravetok #frenchcore #remix #fyp #foryou #fy #viral #diesendungmitdermaus#fyp #fpy #viraltiktok #viral   #undvonheute #wiealtbistdu? #funny #familienlebe #blau #alicaweidel #afd #freiheit #volk #stark #seischlauwählblau #nurafdwählen #afdnrw #weidelalice #afd #freiheit #volk #seiduselbst #💙💙💙 #🇩🇪🇩🇪🇩🇪 #⚘️ #⚘️❤️🌹🌹💗💗♥️💖♥️♥️♥️💞💞💞💕💕💕💕😍😍🌹🌹🌹🌹💗💗💗 #nurdu #teamblauebande #schlümpfe ,False,the.king.bryan,The.King.Bryan,19000,8602,160500,1218,8494,False,"['fyp', 'fpy', 'viraltiktok', 'viral', 'musikvideo', 'techno', 'undvonheute', 'spassvideo', 'spassmusssein', '30er', '60er', '90er', '90erkids', '2000er', '2024music', 'wiealtbistdu?', 'dubstep', 'dance', 'funny', 'familienleben', 'musikstory', 'kindheitserinnerung', 'erinnerung', 'blau', 'alicaweidel', 'afd', 'freiheit', 'volk', 'lasers', 'lasershow', 'lightshow', 'rave', 'techno', 'hardtechno', 'festival', 'ravetok', 'trend', 'edits', 'theedit', 'jacobelordi', 'taylorswift', 'walkerscobell', 'pedropascal', 'milesmorales', 'timotheechalamet', 'theholysantabarbara', 'sms23', 'sonnemondsternefestival', 'sonnemondsterne', 'techno', 'rave', 'ravetok', 'frenchcore', 'remix', 'fyp', 'foryou', 'fy', 'viral', 'diesendungmitdermaus', 'fyp', 'fpy', 'viraltiktok', 'viral', 'undvonheute', 'wiealtbistdu?', 'funny', 'familienlebe', 'blau', 'alicaweidel', 'afd', 'freiheit', 'volk', 'stark', 'seischlauwählblau', 'nurafdwählen', 'afdnrw', 'weidelalice', 'afd', 'freiheit', 'volk', 'seiduselbst', '💙💙💙', '🇩🇪🇩🇪🇩🇪', '⚘️', '⚘️❤️🌹🌹💗💗♥️💖♥️♥️♥️💞💞💞💕💕💕💕😍😍🌹🌹🌹🌹💗💗💗', 'nurdu', 'teamblauebande', 'schlümpfe']",https://www.tiktok.com/@the.king.bryan/video/7362616433974660384
7362770077449506080,1714278548,47,3237,601,463,22023,Den Trümmerfrauen und der Aufbaugeneration Dank und Anerkennung nach 1945  #1945 #trümmerfrauen #aufbaudeutschland #anerkennung #rentner #flaschensammeln #unvergessen #traurig #traurigaberwahr #deutschland #deutschlandwirdausgesaugt #deutschlandwirdveräppelt #wirsinddasvolk #meinungsfreiheit #f #viral #herzrot #followme #folgenfürmehr #plusweg #bittefolgen #bitteteilen #herzrotundplusweg ,False,convoymg,CONVOY,17300,1710,237800,1810,6396,False,"['1945', 'trümmerfrauen', 'aufbaudeutschland', 'anerkennung', 'rentner', 'flaschensammeln', 'unvergessen', 'traurig', 'traurigaberwahr', 'deutschland', 'deutschlandwirdausgesaugt', 'deutschlandwirdveräppelt', 'wirsinddasvolk', 'meinungsfreiheit', 'f', 'viral', 'herzrot', 'followme', 'folgenfürmehr', 'plusweg', 'bittefolgen', 'bitteteilen', 'herzrotundplusweg']",https://www.tiktok.com/@convoymg/video/7362770077449506080
7352944253305179425,1711990748,0,2860,231,104,21961,#Afd #afd #AfD #alternativefürdeutschland #maximiliankrah #krah #krahtok #de #germany #deutschland #deutschlandzuerst🇩🇪 #grün #diegrünen #fy #4u #foryou #foryuopage ,False,afd.bw2,Alternative für Deutschland,269,46,4928,10,393,False,"['afd', 'afd', 'afd', 'alternativefürdeutschland', 'maximiliankrah', 'krah', 'krahtok', 'de', 'germany', 'deutschland', 'deutschlandzuerst🇩🇪', 'grün', 'diegrünen', 'fy', '4u', 'foryou', 'foryuopage']",https://www.tiktok.com/@afd.bw2/video/7352944253305179425
